timestamp,asset,price
2026-02-10 00:48:40,Nikkei225,57245.84
2026-02-10 00:48:40,USDJPY,156.25
2026-02-10 00:48:40,Bitcoin,69744.62
2026-02-10 00:48:40,SP500,6964.82
